country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value,range,aqi_value,air_quality,date,time
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amravati - MPCB",2025-07-20 18:00:00,20.939198,77.765701,SO2,4.0,8.0,6.0,4.0,8.0,Good,2025-07-20,18:00:00
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",2025-07-20 18:00:00,19.296481,72.840923,PM10,22.0,58.0,43.0,36.0,43.0,Good,2025-07-20,18:00:00
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",2025-07-20 18:00:00,19.296481,72.840923,NH3,1.0,2.0,2.0,1.0,0.0,Good,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - IITM",2025-07-20 18:00:00,19.053536,72.84643,CO,2.0,47.0,26.0,45.0,353.0,Very Poor,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",2025-07-20 18:00:00,19.065931,72.862131,PM2.5,21.0,49.0,37.0,28.0,61.0,Satisfactory,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",2025-07-20 18:00:00,19.065931,72.862131,PM10,33.0,78.0,61.0,45.0,61.0,Satisfactory,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",2025-07-20 18:00:00,19.065931,72.862131,SO2,1.0,2.0,2.0,1.0,2.0,Good,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",2025-07-20 18:00:00,19.065931,72.862131,OZONE,2.0,65.0,10.0,63.0,10.0,Good,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM",2025-07-20 18:00:00,19.23241,72.86895,PM10,15.0,67.0,38.0,52.0,38.0,Good,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM",2025-07-20 18:00:00,19.23241,72.86895,NO2,34.0,66.0,44.0,32.0,55.0,Satisfactory,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM",2025-07-20 18:00:00,19.23241,72.86895,NH3,3.0,4.0,3.0,1.0,1.0,Good,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM",2025-07-20 18:00:00,19.23241,72.86895,OZONE,1.0,12.0,9.0,11.0,9.0,Good,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC",2025-07-20 18:00:00,18.9767,72.838,NO2,8.0,20.0,13.0,12.0,16.0,Good,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC",2025-07-20 18:00:00,18.9767,72.838,SO2,1.0,2.0,1.0,1.0,1.0,Good,2025-07-20,18:00:00
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB",2025-07-20 18:00:00,21.001264,75.565602,PM10,32.0,56.0,44.0,24.0,44.0,Good,2025-07-20,18:00:00
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB",2025-07-20 18:00:00,21.001264,75.565602,NO2,7.0,20.0,13.0,13.0,16.0,Good,2025-07-20,18:00:00
